MeterID,Assigned,time,F,kWa,kWb,kWc,kWtotal
33,ITC (Accuvim),2017-10-26 08:19:12,60,39.111,38.393,34.348,111.852
33,ITC (Accuvim),2017-10-26 08:34:35,60,39.132,38.406,33.967,111.505
33,ITC (Accuvim),2017-10-26 08:49:16,59.98,40.657,41.649,35.622,117.928
33,ITC (Accuvim),2017-10-26 09:04:20,59.99,39.172,38.64,34.295,112.107
33,ITC (Accuvim),2017-10-26 09:19:40,59.99,38.883,38.296,33.92,111.099
33,ITC (Accuvim),2017-10-26 09:34:18,60.01,39.534,39.372,35.328,114.234
33,ITC (Accuvim),2017-10-26 09:49:11,59.97,38.388,38.737,34.27,111.395
33,ITC (Accuvim),2017-10-26 10:04:14,59.99,39.43,39.246,36.533,115.209
33,ITC (Accuvim),2017-10-26 10:19:41,59.99,39.676,41.208,36.306,117.191
33,ITC (Accuvim),2017-10-26 10:34:16,59.99,43.232,43.372,39.277,125.88
33,ITC (Accuvim),2017-10-26 10:49:14,59.99,42.06,42.353,41.07,125.483
33,ITC (Accuvim),2017-10-26 11:04:25,60.01,43.238,43.371,41.876,128.485
33,ITC (Accuvim),2017-10-26 11:19:54,59.97,44.645,46.269,43.326,134.239
33,ITC (Accuvim),2017-10-26 11:34:25,60.03,42.012,43.834,43.164,129.009
33,ITC (Accuvim),2017-10-26 11:49:19,60.01,42.378,44.191,43.597,130.166
33,ITC (Accuvim),2017-10-26 12:04:17,59.99,43.323,46.915,44.605,134.844
33,ITC (Accuvim),2017-10-26 12:20:03,59.99,42.885,44.079,43.063,130.027
33,ITC (Accuvim),2017-10-26 12:34:41,60.02,43.462,44.294,43.33,131.086
33,ITC (Accuvim),2017-10-26 12:49:20,60,44.086,47.064,43.876,135.027
33,ITC (Accuvim),2017-10-26 13:04:17,60,43.338,44.209,43.09,130.636
33,ITC (Accuvim),2017-10-26 13:19:33,59.98,51.746,54.853,51.503,158.102
33,ITC (Accuvim),2017-10-26 13:34:11,59.99,43.238,45.151,42.959,131.348
33,ITC (Accuvim),2017-10-26 13:49:15,60,42.541,45.264,43.126,130.931
33,ITC (Accuvim),2017-10-26 14:04:08,60,43.225,47.581,43.877,134.684
33,ITC (Accuvim),2017-10-26 14:19:43,60,42.047,42.874,42.885,127.806
33,ITC (Accuvim),2017-10-26 14:34:19,60,42.252,43.672,43.44,129.364
33,ITC (Accuvim),2017-10-26 14:49:07,60.02,44.522,48.341,45.134,137.997
33,ITC (Accuvim),2017-10-26 15:04:14,59.97,42.321,44.034,42.635,128.989
33,ITC (Accuvim),2017-10-26 15:19:52,59.99,42.736,45.855,42.816,131.407
33,ITC (Accuvim),2017-10-26 15:34:26,60,42.795,45.758,42.79,131.344
33,ITC (Accuvim),2017-10-26 15:49:07,60.03,42.48,44.502,44.02,131.003
33,ITC (Accuvim),2017-10-26 16:04:05,59.99,43.56,45.597,44.295,133.452
33,ITC (Accuvim),2017-10-26 16:19:38,59.99,43.903,45.135,44.238,133.276
33,ITC (Accuvim),2017-10-26 16:34:17,59.99,42.653,43.898,43.127,129.678
33,ITC (Accuvim),2017-10-26 16:49:12,59.99,42.418,44.008,43.518,129.944
33,ITC (Accuvim),2017-10-26 17:04:20,59.99,44.388,47.419,45.078,136.885
33,ITC (Accuvim),2017-10-26 17:19:40,60,43.368,45.427,45.236,134.031
33,ITC (Accuvim),2017-10-26 17:34:05,60,43.402,47.422,45.555,136.379
33,ITC (Accuvim),2017-10-26 17:49:38,60.02,42.614,44.77,43.908,131.291
33,ITC (Accuvim),2017-10-26 18:04:10,60.01,43.244,46.802,44.474,134.52
33,ITC (Accuvim),2017-10-26 18:19:44,60,43.778,45.766,45.192,134.736
33,ITC (Accuvim),2017-10-26 18:34:37,60,44.383,47.602,45.26,137.244
33,ITC (Accuvim),2017-10-26 18:49:11,59.99,43.888,45.657,45.395,134.941
33,ITC (Accuvim),2017-10-26 19:04:31,59.97,44.799,47.616,45.855,138.269
33,ITC (Accuvim),2017-10-26 19:19:46,60.01,42.396,43.417,43.15,128.964
33,ITC (Accuvim),2017-10-26 19:34:09,60.01,42.171,42.415,42.822,127.408
33,ITC (Accuvim),2017-10-26 19:49:02,59.99,42.532,44.876,42.351,129.759
33,ITC (Accuvim),2017-10-26 20:04:09,60,41.285,42.551,42.049,125.885
33,ITC (Accuvim),2017-10-26 20:19:42,60,40.756,42.361,41.737,124.854
33,ITC (Accuvim),2017-10-26 20:34:25,59.97,40.488,42.472,41.682,124.642
33,ITC (Accuvim),2017-10-26 20:49:13,59.99,40.629,42.528,41.636,124.792
33,ITC (Accuvim),2017-10-26 21:04:08,60.01,44.254,45.983,43.777,134.014
33,ITC (Accuvim),2017-10-26 21:19:45,59.99,42.68,42.982,42.466,128.128
33,ITC (Accuvim),2017-10-26 21:34:17,59.99,42.9,42.816,42.688,128.404
33,ITC (Accuvim),2017-10-26 21:48:59,59.99,44.224,43.792,43.663,131.678
33,ITC (Accuvim),2017-10-26 22:04:05,60.03,44.809,46.154,44.198,135.161
33,ITC (Accuvim),2017-10-26 22:19:44,60.01,44.283,44.241,43.593,132.117
33,ITC (Accuvim),2017-10-26 22:34:03,60,44.27,44.083,43.732,132.086
33,ITC (Accuvim),2017-10-26 22:49:01,59.97,43.378,43.055,42.187,128.621
33,ITC (Accuvim),2017-10-26 23:04:18,60.02,42.984,42.752,42.126,127.861
33,ITC (Accuvim),2017-10-26 23:19:03,60,43.69,45.068,42.8,131.558
33,ITC (Accuvim),2017-10-26 23:34:41,60.01,43.237,42.451,42.211,127.899
33,ITC (Accuvim),2017-10-26 23:49:21,60,43.049,42.453,41.973,127.475
33,ITC (Accuvim),2017-10-27 00:04:00,59.96,43.122,42.97,42.08,128.172
33,ITC (Accuvim),2017-10-27 00:19:15,60.01,44.117,44.324,43.748,132.19
33,ITC (Accuvim),2017-10-27 00:34:48,60.02,43.745,44.957,42.741,131.443
33,ITC (Accuvim),2017-10-27 00:49:07,60,40.179,39.091,38.778,118.048
33,ITC (Accuvim),2017-10-27 01:04:11,59.97,41.319,40.068,39.814,121.201
33,ITC (Accuvim),2017-10-27 01:19:17,60,41.409,40.492,40.188,122.089
33,ITC (Accuvim),2017-10-27 01:34:13,60,41.543,40.448,40.237,122.228
33,ITC (Accuvim),2017-10-27 01:49:35,60.01,40.814,41.459,39.588,121.862
33,ITC (Accuvim),2017-10-27 02:04:08,60,41.624,40.224,40.009,121.856
33,ITC (Accuvim),2017-10-27 02:19:21,60.01,40.292,39.077,38.988,118.357
33,ITC (Accuvim),2017-10-27 02:34:15,60.01,40.359,39.597,39.399,119.355
33,ITC (Accuvim),2017-10-27 02:49:16,60,40.701,40.052,40.151,120.903
33,ITC (Accuvim),2017-10-27 03:04:23,60,40.544,41.141,38.719,120.405
33,ITC (Accuvim),2017-10-27 03:19:39,59.99,39.682,38.714,37.686,116.082
33,ITC (Accuvim),2017-10-27 03:34:22,60.03,39.967,38.743,37.725,116.435
33,ITC (Accuvim),2017-10-27 03:49:12,59.99,39.774,38.605,37.683,116.062
33,ITC (Accuvim),2017-10-27 04:04:41,59.99,40.771,39.673,38.582,119.025
33,ITC (Accuvim),2017-10-27 04:19:08,60,39.757,38.604,37.752,116.113
33,ITC (Accuvim),2017-10-27 04:34:08,60,40.652,41.157,37.464,119.273
33,ITC (Accuvim),2017-10-27 04:49:12,59.97,40.161,38.72,36.855,115.736
33,ITC (Accuvim),2017-10-27 05:04:13,59.97,39.981,38.579,36.653,115.213
33,ITC (Accuvim),2017-10-27 05:19:32,59.99,40.055,39.055,36.691,115.801
33,ITC (Accuvim),2017-10-27 05:34:12,60.01,40.136,38.718,36.656,115.51
